identificatie;b3_bag_bag_overlap;b3_bouwlagen;b3_dak_type;b3_extrusie;b3_h_dak_50p;b3_h_dak_70p;b3_h_dak_max;b3_h_dak_min;b3_h_maaiveld;b3_is_glas_dak;b3_kas_warenhuis;b3_mutatie_AHN3_AHN4;b3_mutatie_AHN4_AHN5;b3_n_vlakken;b3_nodata_fractie_AHN3;b3_nodata_fractie_AHN4;b3_nodata_fractie_AHN5;b3_nodata_radius_AHN3;b3_nodata_radius_AHN4;b3_nodata_radius_AHN5;b3_opp_buitenmuur;b3_opp_dak_plat;b3_opp_dak_schuin;b3_opp_grond;b3_opp_scheidingsmuur;b3_puntdichtheid_AHN3;b3_puntdichtheid_AHN4;b3_puntdichtheid_AHN5;b3_pw_bron;b3_pw_datum;b3_pw_onvoldoende;b3_pw_selectie_reden;b3_rmse_lod12;b3_rmse_lod13;b3_rmse_lod22;b3_succes;b3_t_run;b3_val3dity_lod12;b3_val3dity_lod13;b3_val3dity_lod22;b3_volume_lod12;b3_volume_lod13;b3_volume_lod22;begingeldigheid;documentdatum;documentnummer;eindgeldigheid;eindregistratie;fid;geconstateerd;oorspronkelijkbouwjaar;rf_force_lod11;status;tijdstipeindregistratielv;tijdstipinactief;tijdstipinactieflv;tijdstipnietbaglv;tijdstipregistratie;tijdstipregistratielv;voorkomenidentificatie;Registratiedatum;Opnamedatum;GeldigTot;Certificaathouder;SoortOpname;Status;Berekeningstype;OpBasisVanReferentiegebouw;Gebouwklasse;Gebouwtype;Gebouwsubtype;SBICode;Postcode;Huisnummer;Huisletter;Huisnummertoevoeging;Detailaanduiding;BAGVerblijfsobjectID;BAGLigplaatsID;BAGStandplaatsID;Projectnaam;Projectobject;Bouwjaar;GebruiksoppervlakteThermischeZone;Compactheid;Energieklasse;EnergieIndex;EnergieIndexEMGForfaitair;Energiebehoefte;PrimaireFossieleEnergie;PrimaireFossieleEnergieEMGForfaitair;AandeelHernieuwbareEnergie;AandeelHernieuwbareEnergieEMGForfaitair;Temperatuuroverschrijding;Warmtebehoefte;EisEnergiebehoefte;EisPrimaireFossieleEnergie;EisAandeelHernieuwbareEnergie;EisTemperatuuroverschrijding;BerekendeCO2Emissie;BerekendeEnergieverbruik,,,,,,,,,,,,,,
0153100000202070;0.0;3.0;slanted;0.0;37.77000045776367;38.53099822998047;39.70399856567383;34.44499969482422;31.69700050354004;False;False;False;False;4.0;0.0;0.02222222276031971;1.0;0.2990393340587616;0.645480215549469;2.535290002822876;120.29;6.26;58.79;55.53;71.7;13.777777671813965;26.18181800842285;0.0;AHN3;2018.0;False;PREFERRED_AND_LATEST;2.2053511142730713;1.2550808191299438;0.7716735005378723;True;40.0;[];[];[];377.61492919921875;342.7003173828125;319.4479064941406;2010-03-17;2010-03-17;1000007208;;;2389571.0;False;1939.0;False;Pand in gebruik;;;;;2010-11-15T18:48:59Z;2010-11-16T10:14:59Z;1.0;20240715;20240425;20340425;Energiewacht locatie Enschede;Basisopname;Bestaand;NTA 8800:2024 (basisopname woningbouw);Nee;W;Rijwoning hoek;;;7545JT;28;;;;153010000328605.0;;;;;1939;82,27;2,16;D;;;173,18;272,60;;0,0;;0,92;181,69;;;;;49,92;272,59,,,,,
0153100000202660;0.0;3.0;slanted;0.0;38.18299865722656;39.17599868774414;40.9109992980957;34.49599838256836;32.12699890136719;False;False;False;False;8.0;0.0038610037881881;0.0;1.0;0.3269352912902832;0.3284331262111664;2.489131212234497;151.74;21.05;55.35;64.4;81.44;14.04651165008545;24.29343605041504;0.0;AHN4;2021.0;False;PREFERRED_AND_LATEST;3.013944149017334;0.9984658360481262;0.3705967664718628;True;187.0;[];[];[];459.6874694824219;366.8713684082031;343.8541259765625;2010-03-17;2010-03-17;1000007208;;;2390416.0;False;1937.0;False;Pand in gebruik;;;;;2010-11-15T18:47:52Z;2010-11-16T10:14:55Z;1.0;20240826;20240822;20340822;Energiewacht locatie Enschede;Basisopname;Bestaand;NTA 8800:2024 (basisopname woningbouw);Nee;W;Twee-onder-één-kap;;;7545MC;48;;;;153010000410411.0;;;;;1937;85,40;2,16;E;;;219,67;311,48;;0,0;;1,81;214,76;;;;;57,34;311,48,,,,,
0153100000206569;0.0;3.0;slanted;0.0;37.87099838256836;38.55799865722656;39.70399856567383;34.06100082397461;31.71299934387207;False;False;False;False;4.0;0.023923445492982864;0.028708133846521378;1.0;0.4389653503894806;0.693260908126831;2.372798442840576;128.52;6.31;57.51;52.26;70.15;13.588234901428223;24.394088745117188;0.0;AHN3;2018.0;False;PREFERRED_AND_LATEST;2.3099365234375;0.9752698540687561;0.2765214145183563;True;79.0;[];[];[];356.520751953125;315.1038818359375;289.01007080078125;2010-03-17;2010-03-17;1000007208;;;2395837.0;False;1939.0;False;Pand in gebruik;;;;;2010-11-15T18:40:24Z;2010-11-16T10:14:24Z;1.0;20240715;20240425;20340425;Energiewacht locatie Enschede;Basisopname;Bestaand;NTA 8800:2024 (basisopname woningbouw);Nee;W;Rijwoning tussen;;;7545JT;40;;;;153010000448857.0;;;;;1939;91,00;1,67;C;;;150,92;235,70;;0,0;;1,22;154,68;;;;;43,18;235,70,,,,,
0153100000211547;0.0;;slanted;0.0;36.119998931884766;36.88800048828125;38.21500015258789;32.564998626708984;32.34600067138672;False;False;False;False;11.0;0.009431419894099236;0.0;1.0;0.9259219169616699;0.36399045586586;12.263669967651367;584.88;360.37;585.16;920.95;83.7;10.23939037322998;24.40528106689453;0.0;AHN4;2021.0;False;PREFERRED_AND_LATEST;0.9421718716621399;0.9421718716621399;0.24829763174057007;True;1308.0;[];[];[];4181.51171875;4181.51171875;3780.71044921875;2001-07-17;2001-07-17;20011856;;;2402782.0;False;1990.0;False;Pand in gebruik;;;;;2010-11-15T18:30:33Z;2010-11-16T10:13:43Z;1.0;20240220;20231220;20331220;INNAX gebouw & omgeving BV;Detailopname;Oplevering;NTA 8800:2023 (detailopname utiliteitsbouw);Nee;U;;;;7545KJ;106;;;;153010000508849.0;;;;;1990;1065,56;2,60;A++++;;;174,27;31,44;31,44;83,9;;0,00;73,00;198,12;67,12;39,0;0,00;7,37;93,42
0153100000212102;0.0;;slanted;0.0;43.37799835205078;43.652000427246094;45.09199905395508;42.68199920654297;31.2549991607666;False;False;False;False;3.0;0.0013812155229970813;0.0;1.0;0.3123393654823303;0.33446744084358215;5.5223493576049805;376.73;0.0;182.2;177.63;262.8;7.546334743499756;15.50828742980957;0.0;AHN4;2021.0;False;PREFERRED_AND_LATEST;1.8556424379348755;1.8556424379348755;1.6301162242889404;True;261.0;[];[];[];2201.122314453125;2201.122314453125;2153.248046875;2000-05-02;2000-05-02;20001510;;;2403575.0;False;1964.0;False;Pand in gebruik;;;;;2010-11-15T18:29:07Z;2010-11-16T10:13:38Z;1.0;20240624;20240220;20340220;BuildingLabel B.V.;Basisopname;Bestaand;NTA 8800:2023 (basisopname woningbouw);Nee;W;Appartement;Tussenmidden;;7545ZL;82;;;;153010000377815.0;;;;;1964;80,22;0,73;A;;;90,60;56,04;136,55;63,7;;0,89;98,45;;;;;11,12;153,71,,,,
0153100000215235;0.0;5.0;slanted;0.0;38.69200134277344;39.125;39.80500030517578;37.56999969482422;31.73200035095215;False;False;False;False;2.0;0.0019685039296746254;0.0;1.0;0.34423813223838806;0.3657022714614868;3.8684284687042236;195.43;0.0;144.84;127.19;106.74;7.826429843902588;25.818897247314453;0.0;AHN4;2021.0;False;PREFERRED_AND_LATEST;1.0953264236450195;1.0953264236450195;0.6005823612213135;True;310.0;[];[];[];940.8967895507812;940.8967895507812;886.2548217773438;2010-03-17;2010-03-17;1000007208;;;2407997.0;False;1953.0;False;Pand in gebruik;;;;;2010-11-15T18:22:54Z;2010-11-16T10:13:12Z;1.0;20240506;20240506;20340506;Energiewacht locatie Enschede;Basisopname;Bestaand;NTA 8800:2023 (basisopname woningbouw);Nee;W;Appartement;Tussenvloer;;7545KJ;178;;;;153010000427591.0;;;;;1953;48,91;1,64;D;;;171,10;267,24;267,24;0,0;;1,07;189,15;;;;;48,95;266,93,,,,
0153100000219746;0.0;3.0;slanted;0.0;37.51499938964844;38.279998779296875;39.494998931884766;33.382999420166016;31.312999725341797;False;False;False;False;4.0;0.0;0.0;1.0;0.3499247133731842;0.32163339853286743;2.6487739086151123;145.84;7.91;67.84;67.2;75.43;14.78620719909668;26.455171585083008;0.0;AHN4;2021.0;False;PREFERRED_AND_LATEST;2.6919808387756348;1.1648963689804077;0.6142154932022095;True;182.0;[];[];[];465.0825500488281;402.3078308105469;369.8927001953125;2010-03-17;2010-03-17;1000007208;;;2414270.0;False;1926.0;False;Pand in gebruik;;;;;2010-11-15T18:13:13Z;2010-11-16T10:12:32Z;1.0;20210317;20210223;20310223;Energiewacht locatie Enschede;Basisopname;Bestaand;NTA 8800:2020 (basisopname woningbouw);Nee;W;Twee-onder-één-kap;;;7545NB;69;;;;153010000311659.0;;;;;1926;107,43;2,01;E;;;219,11;328,77;328,77;0,0;0,0;0,00;222,02;;;;;60,52;326,64,,,
0153100000220967;0.0;3.0;slanted;0.0;37.816001892089844;38.54600143432617;40.37300109863281;34.48699951171875;31.69300079345703;False;False;False;False;5.0;0.009009009227156639;0.0;1.0;0.2764020264148712;0.32089895009994507;2.4777326583862305;118.34;7.42;57.53;54.88;71.56;13.07272720336914;26.7747745513916;0.0;AHN4;2021.0;False;PREFERRED_AND_LATEST;2.077354669570923;1.165637493133545;0.6267254948616028;True;244.0;[];[];[];373.05267333984375;337.8154602050781;315.5252685546875;2020-06-17;2020-06-17;2000054070;;;2415958.0;False;1939.0;False;Pand in gebruik;;;;;2020-06-17T09:44:43Z;2020-06-17T09:44:49Z;2.0;20240715;20240425;20340425;Energiewacht locatie Enschede;Basisopname;Bestaand;NTA 8800:2024 (basisopname woningbouw);Nee;W;Rijwoning hoek;;;7545JT;26;;;;153010000300867.0;;;;;1939;82,27;2,16;D;;;171,01;267,57;;0,0;;0,76;179,49;;;;;49,01;267,56,,,,,
0153100000231502;;5.0;multiple horizontal;0.0;40.37799835205078;40.38999938964844;41.779998779296875;31.98699951171875;31.863000869750977;False;False;False;False;36.0;0.0012807376915588975;0.0015368852764368057;1.0;0.4127916693687439;0.709238588809967;11.49539566040039;1053.7;888.26;143.22;972.87;0.0;14.752500534057617;25.517702102661133;0.0;AHN3;2018.0;False;PREFERRED_AND_LATEST;2.1476147174835205;0.9215205907821655;0.5574977397918701;True;1526.0;[];[];[];8291.3017578125;7579.2421875;7400.12451171875;2010-03-17;2010-03-17;1000007208;;;2434255.0;False;1977.0;False;Pand in gebruik;;;;;2010-11-15T17:50:52Z;2010-11-16T10:10:52Z;1.0;20240430;20240425;20340425;Energielabel.com;Basisopname;Bestaand;NTA 8800:2023 (basisopname woningbouw);Nee;W;Appartement;Tussendak;;7545BP;10;;14;;153010000371615.0;;;;;1977;86,10;1,12;C;;;135,82;220,45;;0,0;;1,66;138,21;;;;;41,65;220,44,,,,,
0153100000234085;0.0;3.0;slanted;0.0;38.10499954223633;38.70500183105469;40.40999984741211;34.42900085449219;31.66699981689453;False;False;False;False;4.0;0.0;0.0;1.0;0.3121568560600281;0.3242884576320648;2.413231372833252;125.1;0.0;56.52;46.43;71.67;14.291892051696777;27.870269775390625;0.0;AHN4;2021.0;False;PREFERRED_AND_LATEST;2.0269296169281006;1.4989243745803833;0.8352506160736084;True;47.0;[];[];[];323.66717529296875;305.7325439453125;282.0372009277344;2010-03-17;2010-03-17;1000007208;;;2437871.0;False;1939.0;False;Pand in gebruik;;;;;2010-11-15T17:46:24Z;2010-11-16T10:10:34Z;1.0;20240715;20240425;20340425;Energiewacht locatie Enschede;Basisopname;Bestaand;NTA 8800:2024 (basisopname woningbouw);Nee;W;Rijwoning hoek;;;7545JT;43;;;;153010000422457.0;;;;;1939;82,27;1,96;D;;;175,60;271,51;;0,0;;1,27;180,83;;;;;49,71;271,51,,,,,
