pid,vid
0153100000220466,0153010000344591
0153100000234542,0153010000432005
0153100000240795,0153010000407759
0153100000201837,0153010000396131
0153100000210578,0153010000422711
0153100000204852,0153010000355639
0153100000220855,0153010000460965
0153100000240365,0153010000403621
0153100000219471,0153010000380699
0153100000251127,0153010000354151
0153100000205230,0153010000345587
0153100000259547,0153010000426201
0153100000251767,0153010000448421
0153100000280134,0153010000493792
0153100000283060,0153010000424895
0153100000236817,0153010000435595
0153100000221948,0153010000438679
0153100000511805,0153010000511838
0153100000224605,0153010000489294
0153100000236691,0153010000373315
0153100000226680,0153010000416741
0153100000231487,0153010000362481
0153100000239423,0153010000314205
0153100000293628,0153010000339505
0153100000266527,0153010000331829
0153100000278345,0153010000315905
0153100000208379,0153010000380759
0153100000244958,0153010000396593
0153100000236817,0153010000404637
0153100000289453,0153010000390081
0153100000223775,0153010000338581
0153100000279497,0153010000315929
0153100000232671,0153010000389229
0153100000248237,0153010000298367
0153100000244559,0153010000484413
0153100000226851,0153010000364711
0153100000219287,0153010000390907
0153100000276843,0153010000421243
0153100000251639,0153010000323501
0153100000271332,0153010000464871
0153100000233682,0153010000435989
0153100000263932,0153010000415479
0153100000258090,0153010000350989
0153100000287891,0153010000407689
0153100000253810,0153010000361233
0153100000258150,0153010000437801
0153100000250108,0153010000347347
0153100000248577,0153010000400755
0153100000203954,0153010000331935
0153100000278148,0153010000403587
0153100000292727,0153010000500480
0153100000282521,0153010000430467
0153100000209322,0153010000416285
0153100000207667,0153010000306647
0153100000231423,0153010000315871
0153100000203798,0153010000409199
0153100000206899,0153010000343139
0153100000226009,0153010000302539
0153100000220006,0153010000426557
0153100000216362,0153010000438929
0153100000275107,0153010000304461
0153100000263813,0153010000341997
0153100000472517,0153010000454249
0153100000228135,0153010000303077
0153100000204012,0153010000296719
0153100000274121,0153010000408949
0153100000218467,0153010000316045
0153100000477874,0153010000477894
0153100000234871,0153010000433137
0153100000268129,0153010000445629
0153100000219176,0153010000449165
0153100000292331,0153010000427351
0153100000265536,0153010000414757
0153100000233014,0153010000377405
0153100000244724,0153010000312491
0153100000202016,0153010000295247
0153100000221284,0153010000401927
0153100000263427,0153010000441415
0153100000285918,0153010000495215
0153100000288962,0153010000439887
0153100000280778,0153010000313029
0153100000254171,0153010000402531
0153100000262665,0153010000354975
0153100000230697,0153010000374835
0153100000221512,0153010000397941
0153100000250743,0153010000424241
0153100000208039,0153010000346367
0153100000283685,0153010000316289
0153100000202723,0153010000300911
0153100000232275,0153010000402807
0153100000213502,0153010000397989
0153100000247438,0153010000314959
0153100000262460,0153010000450965
0153100000245608,0153010000294395
0153100000252309,0153010000393161
0153100000268422,0153010000361571
0153100000508156,0153010000508206
0153100000472695,0153010000472727
0153100000203114,0153010000395809
0153100000509905,0153010000510258
0153100000277785,0153010000307287
0153100000291083,0153010000422339
0153100000294207,0153010000316531
0153100000243140,0153010000468386
0153100000223871,0153010000347003
0153100000292101,0153010000437597
0153100000243140,0153010000468190
0153100000215823,0153010000360937
0153100000208952,0153010000451203
0153100000269036,0153010000402241
0153100000278727,0153010000442061
0153100000250985,0153010000324497
0153100000231569,0153010000296395
0153100000256370,0153010000380403
0153100000277302,0153010000316565
0153100000252454,0153010000341933
0153100000240950,0153010000410065
0153100000471746,0153010000467969
0153100000226853,0153010000317235
0153100000269458,0153010000395899
,0153010000516161
0153100000284757,0153010000458609
0153100000249405,0153010000411543
0153100000221215,0153010000330777
0153100000218176,0153010000459005
0153100000240145,0153010000332979
