epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9073,2.48608,4.74638,1.95238,0,0,0,0,1.86406,4.40677,1.64252,0,0,0
2,16.8608,2.58437,4.72941,2.05548,0,0,0,0,1.84961,4.40745,1.63074,1.40071e-05,1.40071e-05,1.40071e-05
3,22.364,2.63048,4.76569,2.04227,0,0,0,0,1.82491,4.39918,1.60738,2.74482e-05,2.74482e-05,2.74482e-05
4,27.4947,2.17554,4.61886,1.86947,0,0,0,0,1.76527,4.35627,1.55898,4.03235e-05,4.03235e-05,4.03235e-05
5,32.065,2.53143,4.55058,1.89198,0,0,0,0,1.68409,4.33422,1.49141,5.26329e-05,5.26329e-05,5.26329e-05
6,36.4711,2.35711,4.63169,1.88529,0,0,0,0,1.60103,4.3009,1.41516,6.43764e-05,6.43764e-05,6.43764e-05
7,41.1215,2.47618,4.48363,1.70143,0,0,0,0,1.66541,4.24481,1.37502,7.55541e-05,7.55541e-05,7.55541e-05
8,45.6879,2.12676,4.34481,1.58713,0,0,0,0,1.6704,4.19366,1.31124,8.61658e-05,8.61658e-05,8.61658e-05
9,50.3868,2.05106,4.18501,1.46948,0,0,0,0,1.6525,4.0972,1.27302,9.62117e-05,9.62117e-05,9.62117e-05
10,54.6801,1.76199,4.22056,1.47587,0,0,0,0,1.59789,4.03666,1.20581,0.000105692,0.000105692,0.000105692
11,59.9982,2.03346,4.05674,1.4241,0,0,0,0,1.48813,3.97909,1.09885,0.000114606,0.000114606,0.000114606
12,64.339,1.80785,3.87485,1.30949,0,0,0,0,1.41935,3.94896,1.05114,0.000122954,0.000122954,0.000122954
13,69.4711,1.87736,3.80952,1.35684,0,0,0,0,1.39189,3.94412,1.02923,0.000130736,0.000130736,0.000130736
14,74.8304,1.62656,3.54795,1.16339,0,0,0,0,1.38323,3.93283,1.03917,0.000137953,0.000137953,0.000137953
15,80.1997,1.80005,3.50301,1.17184,0,0,0,0,1.38521,3.88959,1.05022,0.000144603,0.000144603,0.000144603
16,84.8111,1.56748,3.01867,1.13075,0,0,0,0,1.3438,3.8454,1.04733,0.000150688,0.000150688,0.000150688
17,89.2868,1.77346,3.13594,1.11399,0,0,0,0,1.34964,3.76513,1.03322,0.000156207,0.000156207,0.000156207
18,94.0006,1.56096,2.47096,1.11476,0,0,0,0,1.34964,3.76513,1.03322,0.00016116,0.00016116,0.00016116
19,98.3147,1.6124,2.55654,1.12903,0,0,0,0,1.33245,3.67447,1.00151,0.000165547,0.000165547,0.000165547
20,102.358,1.52332,2.38655,1.0772,0,0,0,0,1.33245,3.67447,1.00151,0.000169368,0.000169368,0.000169368
21,107.098,1.60818,2.32979,1.05842,0.02913,0.21429,0.22093,0.15884,1.31279,3.55241,0.97751,0.000172623,0.000172623,0.000172623
22,111.654,1.49233,2.16508,1.03816,0.02913,0.21429,0.22093,0.15884,1.31279,3.55241,0.97751,0.000175313,0.000175313,0.000175313
23,116.508,1.47559,2.13056,1.02714,0.04545,0.28571,0.28874,0.21024,1.25142,3.42839,0.94509,0.000177436,0.000177436,0.000177436
24,120.719,1.36589,2.16788,1.05909,0.04545,0.28571,0.28874,0.21024,1.25142,3.42839,0.94509,0.000178994,0.000178994,0.000178994
25,124.896,1.44836,2.0191,1.0514,0.05488,0.32143,0.32868,0.2251,1.26513,3.33192,0.94001,0.000179985,0.000179985,0.000179985
26,129.227,1.59936,1.91243,1.03084,0.05488,0.32143,0.32868,0.2251,1.26513,3.33192,0.94001,0.000180411,0.000180411,0.000180411
27,133.649,1.41263,1.69647,1.05117,0.07042,0.35714,0.36751,0.24242,1.29595,3.28717,0.95381,0.000180271,0.000180271,0.000180271
28,138.181,1.40397,1.70411,1.04824,0.07042,0.35714,0.36751,0.24242,1.29595,3.28717,0.95381,0.000179565,0.000179565,0.000179565
29,142.789,1.24113,1.51631,0.99922,0.06944,0.35714,0.36737,0.24316,1.27669,3.30704,0.96744,0.000178293,0.000178293,0.000178293
30,147.513,1.38927,1.55768,1.04625,0.06944,0.35714,0.36737,0.24316,1.27669,3.30704,0.96744,0.000176456,0.000176456,0.000176456
31,152.625,1.19089,1.36508,0.95697,0.06944,0.35714,0.36737,0.24915,1.22623,3.32519,0.96551,0.000174052,0.000174052,0.000174052
32,156.608,1.36319,1.59902,1.00697,0.06944,0.35714,0.36737,0.24915,1.22623,3.32519,0.96551,0.000171083,0.000171083,0.000171083
33,164.453,1.26642,1.5664,0.97804,0.07042,0.35714,0.36751,0.26329,1.2091,3.28091,0.95098,0.000167547,0.000167547,0.000167547
34,171.639,1.36686,1.50189,0.98424,0.07042,0.35714,0.36751,0.26329,1.2091,3.28091,0.95098,0.000163446,0.000163446,0.000163446
35,629.032,1.28706,1.337,0.99172,0.06522,0.32143,0.334,0.25468,1.14502,3.23397,0.90669,0.000158779,0.000158779,0.000158779
36,634.494,1.26676,1.32981,0.95927,0.06522,0.32143,0.334,0.25468,1.14502,3.23397,0.90669,0.000153546,0.000153546,0.000153546
37,640.038,1.25099,1.39232,0.98401,0.06338,0.32143,0.31368,0.2422,1.08455,3.22714,0.89294,0.000147747,0.000147747,0.000147747
38,649.3,1.1358,1.28392,0.97441,0.06338,0.32143,0.31368,0.2422,1.08455,3.22714,0.89294,0.000141382,0.000141382,0.000141382
