                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4465,                 4.5577,                 1.9717,                      0,                      0,                      0,                      0,                 1.8613,                 4.4058,                 1.6429,                      0,                      0,                      0
                      2,                 2.3164,                  4.564,                 1.9635,                      0,                      0,                      0,                      0,                 1.8538,                 4.4107,                 1.6381,             1.4007e-05,             1.4007e-05,             1.4007e-05
                      3,                  2.415,                 4.6049,                 1.9036,                      0,                      0,                      0,                      0,                 1.8338,                 4.3999,                 1.6187,             2.7448e-05,             2.7448e-05,             2.7448e-05
                      4,                 2.3757,                 4.5597,                 1.8947,                      0,                      0,                      0,                      0,                  1.804,                 4.3566,                 1.5736,             4.0324e-05,             4.0324e-05,             4.0324e-05
                      5,                 2.1578,                 4.5835,                 1.7973,                      0,                      0,                      0,                      0,                  1.739,                 4.3441,                 1.5278,             5.2633e-05,             5.2633e-05,             5.2633e-05
                      6,                 2.4298,                 4.4673,                 1.7791,                      0,                      0,                      0,                      0,                 1.6547,                 4.2956,                 1.4611,             6.4376e-05,             6.4376e-05,             6.4376e-05
                      7,                 2.0975,                 4.4773,                 1.6801,                      0,                      0,                      0,                      0,                 1.5231,                 4.2753,                 1.3824,             7.5554e-05,             7.5554e-05,             7.5554e-05
                      8,                 2.0815,                 4.5046,                 1.5119,                      0,                      0,                      0,                      0,                  1.481,                 4.2374,                 1.3077,             8.6166e-05,             8.6166e-05,             8.6166e-05
                      9,                 1.8924,                 4.1517,                 1.4699,                      0,                      0,                      0,                      0,                 1.5094,                 4.1863,                 1.2546,             9.6212e-05,             9.6212e-05,             9.6212e-05
                     10,                 1.9284,                 4.1283,                 1.4789,                      0,                      0,                      0,                      0,                  1.416,                 4.1551,                 1.2068,             0.00010569,             0.00010569,             0.00010569
                     11,                 1.7916,                 3.8892,                 1.3708,                      0,                      0,                      0,                      0,                 1.3979,                 4.0852,                 1.1689,             0.00011461,             0.00011461,             0.00011461
                     12,                 1.7784,                 3.8225,                 1.2487,                      0,                      0,                      0,                      0,                 1.3371,                  4.049,                 1.1218,             0.00012295,             0.00012295,             0.00012295
                     13,                 1.7891,                 3.6751,                 1.2358,                      0,                      0,                      0,                      0,                 1.3228,                 3.9538,                 1.0718,             0.00013074,             0.00013074,             0.00013074
                     14,                 1.6919,                 3.6318,                 1.1296,                      0,                      0,                      0,                      0,                 1.2947,                  3.899,                 1.0288,             0.00013795,             0.00013795,             0.00013795
                     15,                 1.8124,                  3.473,                 1.1717,                      0,                      0,                      0,                      0,                 1.2582,                 3.8659,                 1.0129,              0.0001446,              0.0001446,              0.0001446
                     16,                 1.6269,                 3.1907,                 1.1243,                      0,                      0,                      0,                      0,                 1.2704,                 3.8319,                 1.0162,             0.00015069,             0.00015069,             0.00015069
                     17,                 1.5637,                 3.2688,                 1.1685,                      0,                      0,                      0,                      0,                 1.2062,                  3.761,                  1.002,             0.00015621,             0.00015621,             0.00015621
                     18,                  1.512,                 2.5596,                 1.0913,                      0,                      0,                      0,                      0,                 1.2062,                  3.761,                  1.002,             0.00016116,             0.00016116,             0.00016116
                     19,                 1.3818,                 2.5033,                 1.0264,                0.00543,                0.03571,                0.00719,                0.00575,                 1.2359,                 3.7029,                 1.0076,             0.00016555,             0.00016555,             0.00016555
                     20,                 1.5969,                 2.4172,                  1.069,                0.00543,                0.03571,                0.00719,                0.00575,                 1.2359,                 3.7029,                 1.0076,             0.00016937,             0.00016937,             0.00016937
                     21,                 1.5205,                 2.3355,                 1.0354,                 0.0101,                0.07143,                0.07681,                0.06145,                  1.306,                 3.6591,                  1.048,             0.00017262,             0.00017262,             0.00017262
                     22,                 1.5348,                 2.2426,                 1.0289,                 0.0101,                0.07143,                0.07681,                0.06145,                  1.306,                 3.6591,                  1.048,             0.00017531,             0.00017531,             0.00017531
                     23,                 1.3876,                 2.1159,                 1.0039,                  0.025,                0.17857,                0.18559,                0.12585,                 1.3015,                 3.6305,                 1.0683,             0.00017744,             0.00017744,             0.00017744
                     24,                 1.3323,                 1.8339,                 1.0156,                  0.025,                0.17857,                0.18559,                0.12585,                 1.3015,                 3.6305,                 1.0683,             0.00017899,             0.00017899,             0.00017899
                     25,                 1.4103,                 2.1238,                 1.0095,                0.03365,                   0.25,                0.24733,                0.15142,                 1.2873,                 3.5637,                 1.0573,             0.00017999,             0.00017999,             0.00017999
