                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4901,                 4.5497,                 1.9854,                      0,                      0,                      0,                      0,                  1.878,                 4.5959,                  1.755,                      0,                      0,                      0
                      2,                 2.4431,                 4.5386,                 2.0265,                      0,                      0,                      0,                      0,                 1.8692,                 4.5752,                  1.746,             1.4007e-05,             1.4007e-05,             1.4007e-05
                      3,                  2.383,                 4.5843,                 1.8919,                      0,                      0,                      0,                      0,                 1.8414,                 4.5314,                 1.7103,             2.7448e-05,             2.7448e-05,             2.7448e-05
                      4,                 2.3395,                 4.5632,                 1.8743,                      0,                      0,                      0,                      0,                 1.7882,                 4.5067,                 1.6821,             4.0324e-05,             4.0324e-05,             4.0324e-05
                      5,                 2.1727,                 4.5787,                 1.8012,                      0,                      0,                      0,                      0,                 1.6992,                 4.4668,                 1.6233,             5.2633e-05,             5.2633e-05,             5.2633e-05
                      6,                 2.4668,                 4.4602,                 1.8122,                      0,                      0,                      0,                      0,                 1.5983,                 4.4411,                 1.5384,             6.4376e-05,             6.4376e-05,             6.4376e-05
                      7,                 2.1585,                 4.4743,                 1.7133,                      0,                      0,                      0,                      0,                 1.4918,                 4.4116,                 1.4565,             7.5554e-05,             7.5554e-05,             7.5554e-05
                      8,                 2.1038,                 4.4466,                 1.5347,                      0,                      0,                      0,                      0,                 1.4534,                  4.351,                 1.4073,             8.6166e-05,             8.6166e-05,             8.6166e-05
                      9,                 1.8558,                 4.1418,                 1.4481,                      0,                      0,                      0,                      0,                  1.452,                 4.3148,                 1.3351,             9.6212e-05,             9.6212e-05,             9.6212e-05
                     10,                 1.9486,                  4.129,                 1.4834,                      0,                      0,                      0,                      0,                 1.3946,                 4.2409,                 1.2461,             0.00010569,             0.00010569,             0.00010569
                     11,                 1.7803,                 3.8704,                 1.3472,                      0,                      0,                      0,                      0,                 1.3704,                 4.1652,                 1.2067,             0.00011461,             0.00011461,             0.00011461
                     12,                 1.8115,                  3.821,                  1.254,                      0,                      0,                      0,                      0,                 1.3136,                  4.096,                 1.0991,             0.00012295,             0.00012295,             0.00012295
                     13,                 1.7697,                 3.6841,                 1.2202,                      0,                      0,                      0,                      0,                   1.27,                 4.0423,                 1.0535,             0.00013074,             0.00013074,             0.00013074
                     14,                 1.7086,                 3.6225,                  1.118,                      0,                      0,                      0,                      0,                 1.2867,                 4.0192,                 1.0452,             0.00013795,             0.00013795,             0.00013795
                     15,                  1.904,                 3.4445,                 1.2053,                      0,                      0,                      0,                      0,                 1.2441,                 3.9736,                 1.0155,              0.0001446,              0.0001446,              0.0001446
                     16,                 1.6426,                 3.1752,                 1.1082,                      0,                      0,                      0,                      0,                 1.2034,                 3.9365,                0.99201,             0.00015069,             0.00015069,             0.00015069
