epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.4765,2.48608,4.74638,1.95238,0,0,0,0,1.86406,4.40677,1.64252,0,0,0
2,17.4207,2.58437,4.72941,2.05548,0,0,0,0,1.84961,4.40745,1.63074,1.40071e-05,1.40071e-05,1.40071e-05
3,22.5623,2.63048,4.76569,2.04227,0,0,0,0,1.82491,4.39918,1.60738,2.74482e-05,2.74482e-05,2.74482e-05
4,27.9126,2.17554,4.61886,1.86947,0,0,0,0,1.76527,4.35627,1.55898,4.03235e-05,4.03235e-05,4.03235e-05
5,32.609,2.53143,4.55058,1.89198,0,0,0,0,1.68409,4.33422,1.49141,5.26329e-05,5.26329e-05,5.26329e-05
6,42.4069,2.35711,4.63169,1.88529,0,0,0,0,1.60103,4.3009,1.41516,6.43764e-05,6.43764e-05,6.43764e-05
7,54.7455,2.47618,4.48363,1.70143,0,0,0,0,1.66541,4.24481,1.37502,7.55541e-05,7.55541e-05,7.55541e-05
8,63.0762,2.12676,4.34481,1.58713,0,0,0,0,1.6704,4.19366,1.31124,8.61658e-05,8.61658e-05,8.61658e-05
9,73.2448,2.05106,4.18501,1.46948,0,0,0,0,1.6525,4.0972,1.27302,9.62117e-05,9.62117e-05,9.62117e-05
10,85.245,1.76199,4.22056,1.47587,0,0,0,0,1.59789,4.03666,1.20581,0.000105692,0.000105692,0.000105692
11,95.6422,2.03346,4.05674,1.4241,0,0,0,0,1.48813,3.97909,1.09885,0.000114606,0.000114606,0.000114606
12,105.893,1.80785,3.87485,1.30949,0,0,0,0,1.41935,3.94896,1.05114,0.000122954,0.000122954,0.000122954
13,121.35,1.87736,3.80952,1.35684,0,0,0,0,1.39189,3.94412,1.02923,0.000130736,0.000130736,0.000130736
14,132.617,1.62656,3.54795,1.16339,0,0,0,0,1.38323,3.93283,1.03917,0.000137953,0.000137953,0.000137953
15,137.671,1.80005,3.50301,1.17184,0,0,0,0,1.38521,3.88959,1.05022,0.000144603,0.000144603,0.000144603
16,142.369,1.56748,3.01867,1.13075,0,0,0,0,1.3438,3.8454,1.04733,0.000150688,0.000150688,0.000150688
17,147.182,1.77346,3.13594,1.11399,0,0,0,0,1.34964,3.76513,1.03322,0.000156207,0.000156207,0.000156207
18,151.506,1.56096,2.47096,1.11476,0,0,0,0,1.34964,3.76513,1.03322,0.00016116,0.00016116,0.00016116
19,156.083,1.6124,2.55654,1.12903,0,0,0,0,1.33245,3.67447,1.00151,0.000165547,0.000165547,0.000165547
20,160.483,1.52332,2.38655,1.0772,0,0,0,0,1.33245,3.67447,1.00151,0.000169368,0.000169368,0.000169368
