epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.90935,2.43548,4.65949,1.93061,0,0,0,0,2.07228,4.70065,1.86055,0,0,0
2,7.54486,2.57735,4.6291,2.04614,0,0,0,0,2.02631,4.70079,1.832,1.40071e-05,1.40071e-05,1.40071e-05
3,10.8932,2.58013,4.68888,2.03293,0,0,0,0,1.99447,4.71082,1.8009,2.74482e-05,2.74482e-05,2.74482e-05
4,13.963,2.18008,4.54641,1.87933,0,0,0,0,1.9414,4.66436,1.78643,4.03235e-05,4.03235e-05,4.03235e-05
5,17.2504,2.45986,4.53614,1.91746,0,0,0,0,1.82947,4.59211,1.72427,5.26329e-05,5.26329e-05,5.26329e-05
6,20.6499,2.33874,4.52961,1.84222,0,0,0,0,1.70802,4.55435,1.68462,6.43764e-05,6.43764e-05,6.43764e-05
7,24.0725,2.2707,4.3598,1.65649,0,0,0,0,1.6322,4.46552,1.59745,7.55541e-05,7.55541e-05,7.55541e-05
8,27.7076,2.12267,4.313,1.56372,0,0,0,0,1.58112,4.46116,1.54279,8.61658e-05,8.61658e-05,8.61658e-05
9,31.1635,1.99982,4.12749,1.46643,0,0,0,0,1.60378,4.38788,1.49423,9.62117e-05,9.62117e-05,9.62117e-05
10,34.5085,1.67064,4.10272,1.44185,0,0,0,0,1.62377,4.35625,1.43757,0.000105692,0.000105692,0.000105692
11,37.6856,1.85091,3.92599,1.33467,0,0,0,0,1.57747,4.2743,1.38479,0.000114606,0.000114606,0.000114606
12,41.4174,1.71709,3.83545,1.30164,0,0,0,0,1.57651,4.21802,1.35981,0.000122954,0.000122954,0.000122954
13,45.1339,1.88103,3.71974,1.36423,0,0,0,0,1.51435,4.20342,1.35365,0.000130736,0.000130736,0.000130736
14,48.4838,1.65461,3.49779,1.1899,0,0,0,0,1.49934,4.14699,1.32696,0.000137953,0.000137953,0.000137953
15,51.6625,1.63114,3.45201,1.13599,0,0,0,0,1.36519,4.11608,1.23142,0.000144603,0.000144603,0.000144603
16,55.3406,1.57142,2.99549,1.13273,0,0,0,0,1.34522,4.10757,1.26951,0.000150688,0.000150688,0.000150688
17,59.6309,1.6731,3.07771,1.11842,0,0,0,0,1.37642,4.03168,1.24201,0.000156207,0.000156207,0.000156207
18,63.2905,1.45841,2.44188,1.07974,0,0,0,0,1.37642,4.03168,1.24201,0.00016116,0.00016116,0.00016116
19,66.8598,1.54753,2.52783,1.11299,0,0,0,0,1.27066,3.93172,1.12445,0.000165547,0.000165547,0.000165547
20,69.7641,1.51476,2.3023,1.04723,0,0,0,0,1.27066,3.93172,1.12445,0.000169368,0.000169368,0.000169368
21,72.6529,1.52956,2.31928,1.02109,0,0,0,0,1.25433,3.8378,1.09555,0.000172623,0.000172623,0.000172623
22,75.6223,1.3717,1.8881,1.00474,0,0,0,0,1.25433,3.8378,1.09555,0.000175313,0.000175313,0.000175313
